Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N2C2W1_CL2_3_4_B.BPPFI, CL2_3_4,100,1,0,19,19,20,19,0,20299,102,14628,14628,0.005,0.009,3.896,4.028,8.455
N2C2W1_CL2_3_4_C.BPPFI, CL2_3_4,100,1,0,17,18,18,18,0,2228,7,1839,1839,0.005,0.011,0.947,0.733,1.851
N2C2W1_CL2_3_4_D.BPPFI, CL2_3_4,100,1,0,18,18,19,18,0,45557,275,35733,35733,0.006,0.01,7.262,7.188,15.388
N2C2W1_CL2_3_4_E.BPPFI, CL2_3_4,100,0,0.055555556,17,17,18,18,0,14402728,84217,11586998,11586998,0.006,0.01,1930.503,1467.705,3600.031
N2C2W2_CL1_1_3_A.BPPFI, CL1_1_3,100,1,0,26,26,26,26,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C2W2_CL1_1_3_B.BPPFI, CL1_1_3,100,0,0.035714286,27,27,28,28,0,11166703,41677,8663448,8663448,0.004,0.009,2077.357,1384.212,3600.016
N2C2W2_CL1_1_3_C.BPPFI, CL1_1_3,100,1,0,27,27,27,27,0,0,0,0,0,0.006,0.009,0,0,0.016
N2C2W2_CL1_1_3_D.BPPFI, CL1_1_3,100,1,0,26,26,26,26,0,0,0,0,0,0.004,0.009,0,0,0.015
N2C2W2_CL1_1_3_E.BPPFI, CL1_1_3,100,0,0.037037037,26,26,27,27,0,10174682,34349,8003464,8003464,0.005,0.01,2124.256,1342.77,3600.071
N2C2W2_CL1_1_5_A.BPPFI, CL1_1_5,100,1,0,18,18,18,18,0,0,0,0,0,0.005,0.011,0,0,0.016
N2C2W2_CL1_1_5_B.BPPFI, CL1_1_5,100,1,0,19,19,19,19,0,0,0,0,0,0.005,0.011,0,0,0.017
N2C2W2_CL1_1_5_C.BPPFI, CL1_1_5,100,1,0,19,19,19,19,0,0,0,0,0,0.005,0.011,0,0,0.016
N2C2W2_CL1_1_5_D.BPPFI, CL1_1_5,100,1,0,18,18,18,18,0,0,0,0,0,0.005,0.01,0,0,0.016
N2C2W2_CL1_1_5_E.BPPFI, CL1_1_5,100,1,0,18,18,19,18,0,298641,1595,246251,246251,0.006,0.013,53.313,43.231,101.281
N2C2W2_CL2_1_5_A.BPPFI, CL2_1_5,100,0,0.04,24,24,25,25,0,13844639,65764,10676075,10676075,0.005,0.008,2014.602,1425.167,3600.05
