Name, class, n, opt, gap, lb0, lb, ub0, ub, rootColCnt, totalColCnt, exploredNodeCnt, rmpCnt, pricingCnt,lb0Time, ub0Time, rmpTime, pricingTime, totalTime
N3C2W1_CL2_1_5_E.BPPFI, CL2_1_5,200,0,0.023809524,41,41,42,42,0,15460381,81287,12082877,12082877,0.006,150.001,1932.541,1312.114,3600.001
N3C2W1_CL2_3_3_A.BPPFI, CL2_3_3,200,0,0.023255814,42,42,43,43,0,7114280,14788,5736350,5736350,0.006,150.001,2081.367,1252.095,3600.106
N3C2W1_CL2_3_3_B.BPPFI, CL2_3_3,200,1,0,40,41,41,41,0,552167,751,452196,452196,0.004,150.001,433.189,185.82,782.634
N3C2W1_CL2_3_3_C.BPPFI, CL2_3_3,200,0,0.023809524,41,41,42,42,0,12056812,52673,9514188,9514188,0.004,150.001,1976.125,1296.331,3600.062
N3C2W1_CL2_3_3_D.BPPFI, CL2_3_3,200,1,0,40,40,41,40,0,551925,1637,437892,437892,0.006,150.001,134.271,78.084,371.595
N3C2W1_CL2_3_3_E.BPPFI, CL2_3_3,200,1,0,41,41,41,41,0,0,0,0,0,0.006,0.003,0,0,0.01
N3C2W1_CL2_3_4_A.BPPFI, CL2_3_4,200,1,0,37,37,37,37,0,0,0,0,0,0.005,0.004,0,0,0.009
N3C2W1_CL2_3_4_B.BPPFI, CL2_3_4,200,0,0.027777778,35,35,36,36,0,2769153,3538,2303185,2303185,0.005,150.001,2270.157,1110.417,3600.015
N3C2W1_CL2_3_4_C.BPPFI, CL2_3_4,200,1,0,36,36,36,36,0,0,0,0,0,0.007,0.005,0,0,0.012
N3C2W1_CL2_3_4_D.BPPFI, CL2_3_4,200,0,0.027777778,35,35,36,36,0,3827112,5601,3212495,3212495,0.006,150.001,2138.621,1231.992,3600.266
N3C2W1_CL2_3_4_E.BPPFI, CL2_3_4,200,1,0,36,36,36,36,0,0,0,0,0,0.005,0.003,0,0,0.008
N3C2W2_CL1_1_3_A.BPPFI, CL1_1_3,200,0,0.018867925,52,52,54,53,0,5814607,15317,4679167,4679167,0.006,150.001,2153.399,1208.163,3600.147
N3C2W2_CL1_1_3_B.BPPFI, CL1_1_3,200,0,0.019607843,50,50,51,51,0,3899999,5123,3163671,3163671,0.004,150.001,2264.054,1119.699,3600.331
N3C2W2_CL1_1_3_C.BPPFI, CL1_1_3,200,0,0.019230769,51,51,53,52,0,4598691,6899,3734496,3734496,0.004,150,2217.547,1161.275,3600.162
N3C2W2_CL1_1_3_D.BPPFI, CL1_1_3,200,0,0.018867925,52,52,53,53,0,4283325,5839,3449848,3449848,0.005,150,2208.625,1173.33,3600.299
N3C2W2_CL1_1_3_E.BPPFI, CL1_1_3,200,0,0.035714286,54,54,56,56,0,7289037,17629,5820967,5820967,0.005,150.001,2084.409,1266.81,3600.033
N3C2W2_CL1_1_5_A.BPPFI, CL1_1_5,200,0,0.027777778,35,35,36,36,0,2419608,2740,2046948,2046948,0.005,150.001,2220.427,1172.653,3600.098
N3C2W2_CL1_1_5_B.BPPFI, CL1_1_5,200,0,0.028571429,34,34,35,35,0,3068953,6763,2621274,2621274,0.005,150.001,2223.229,1159.618,3600.783
N3C2W2_CL1_1_5_C.BPPFI, CL1_1_5,200,1,0,34,35,35,35,0,1301,1,1102,1102,0.005,150.001,1.532,0.786,152.46
N3C2W2_CL1_1_5_D.BPPFI, CL1_1_5,200,0,0.027777778,35,35,36,36,0,2320611,2714,1955647,1955647,0.004,150.001,2241.885,1145.185,3600.433
N3C2W2_CL1_1_5_E.BPPFI, CL1_1_5,200,0,0.026315789,37,37,38,38,0,3275299,6079,2782760,2782760,0.005,150.001,2171.893,1201.44,3600.618
N3C2W2_CL2_1_5_A.BPPFI, CL2_1_5,200,0,0.020833333,47,47,49,48,0,4260883,6751,3413662,3413662,0.004,150,2165.671,1204.639,3600.676
N3C2W2_CL2_1_5_B.BPPFI, CL2_1_5,200,0,0.021276596,46,46,48,47,0,5148083,36155,4053024,4053024,0.008,150.001,2180.486,1176.545,3600.013
N3C2W2_CL2_1_5_C.BPPFI, CL2_1_5,200,0,0.020833333,47,47,48,48,0,5885049,11730,4748710,4748710,0.006,150.001,2120.086,1232.257,3600.132
N3C2W2_CL2_1_5_D.BPPFI, CL2_1_5,200,0,0.040816327,47,47,49,49,0,9125532,28991,7246687,7246687,0.006,150.001,2035.539,1285.082,3600.027
N3C2W2_CL2_1_5_E.BPPFI, CL2_1_5,200,0,0.04,48,48,50,50,0,9584845,33887,7622083,7622083,0.005,150.001,2001.732,1314.108,3600.075
N3C2W2_CL2_3_3_A.BPPFI, CL2_3_3,200,0,0.020833333,47,47,48,48,0,5437358,10864,4415641,4415641,0.006,150.001,2173.59,1184.699,3600.238
N3C2W2_CL2_3_3_B.BPPFI, CL2_3_3,200,0,0.021276596,46,46,47,47,0,7557526,21737,6145877,6145877,0.006,150.001,2096.212,1236.503,3600.034
N3C2W2_CL2_3_3_C.BPPFI, CL2_3_3,200,0,0.021276596,46,46,48,47,0,4121426,7084,3330078,3330078,0.006,150.001,2210.738,1158.657,3600.068
N3C2W2_CL2_3_3_D.BPPFI, CL2_3_3,200,0,0.020833333,47,47,48,48,0,4894642,8380,3968104,3968104,0.006,150,2167.492,1195.282,3600.331
