Name,Class,N, #Node, #Node-P,#Col, #PriceCnt, LB0,LB, UB0,UB,Opt,Time
N1C2W2_CL2_3_3_C,CL2_3_3,50,1,0,262,26,12,12,12,12,1,0.03
N1C2W2_CL2_3_3_D,CL2_3_3,50,3719,29,12753,13590,11,11,12,12,1,94.97
N1C2W2_CL2_3_3_E,CL2_3_3,50,1,0,323,32,13,13,13,13,1,0.02
N1C2W2_CL2_3_4_A,CL2_3_4,50,1,0,370,37,10,10,10,10,1,0.05
N1C2W2_CL2_3_4_B,CL2_3_4,50,1,0,421,42,11,11,11,11,1,0.05
N1C2W2_CL2_3_4_C,CL2_3_4,50,1,0,351,35,11,11,11,11,1,0.03
N1C2W2_CL2_3_4_D,CL2_3_4,50,1,0,340,34,10,10,10,10,1,0.03
N1C2W2_CL2_3_4_E,CL2_3_4,50,33858,38,36812,114058,11,11,12,12,1,679.66
N1C2W4_CL1_1_3_A,CL1_1_3,50,1,0,309,31,14,15,15,15,1,0.03
N1C2W4_CL1_1_3_B,CL1_1_3,50,1,0,325,32,15,15,15,15,1,0.03
N1C2W4_CL1_1_3_C,CL1_1_3,50,1,0,327,33,14,15,15,15,1,0.03
N1C2W4_CL1_1_3_D,CL1_1_3,50,1,0,294,29,14,14,14,14,1,0.03
N1C2W4_CL1_1_3_E,CL1_1_3,50,1,0,325,32,15,15,15,15,1,0.02
N1C2W4_CL1_1_5_A,CL1_1_5,50,1,0,470,47,10,10,10,10,1,0.06
N1C2W4_CL1_1_5_B,CL1_1_5,50,1,0,420,42,10,10,10,10,1,0.05
N1C2W4_CL1_1_5_C,CL1_1_5,50,1,0,390,39,10,10,10,10,1,0.05
N1C2W4_CL1_1_5_D,CL1_1_5,50,1,0,409,41,9,9,9,9,1,0.05
N1C2W4_CL1_1_5_E,CL1_1_5,50,1,0,380,38,10,10,10,10,1,0.05
N1C2W4_CL2_1_5_A,CL2_1_5,50,83873,46,45623,214284,12,12,13,13,1,695.58
N1C2W4_CL2_1_5_B,CL2_1_5,50,1,0,363,36,13,13,13,13,1,0.03
N1C2W4_CL2_1_5_C,CL2_1_5,50,7,39,548,183,12,12,13,13,1,0.55
N1C2W4_CL2_1_5_D,CL2_1_5,50,1,0,292,29,12,12,12,12,1,0.03
N1C2W4_CL2_1_5_E,CL2_1_5,50,1,0,353,35,12,13,13,13,1,0.03
N1C2W4_CL2_3_3_A,CL2_3_3,50,1,0,312,31,12,12,12,12,1,0.03
N1C2W4_CL2_3_3_B,CL2_3_3,50,6,11,523,102,12,12,13,13,1,0.34
N1C2W4_CL2_3_3_C,CL2_3_3,50,1,0,262,26,12,12,12,12,1,0.03
N1C2W4_CL2_3_3_D,CL2_3_3,50,1,0,302,30,12,12,12,12,1,0.03
N1C2W4_CL2_3_3_E,CL2_3_3,50,133,26,1564,518,12,12,13,13,1,2.81
N1C2W4_CL2_3_4_A,CL2_3_4,50,1,0,371,37,11,11,11,11,1,0.05
N1C2W4_CL2_3_4_B,CL2_3_4,50,1,0,351,35,11,11,11,11,1,0.05
N1C2W4_CL2_3_4_C,CL2_3_4,50,1,0,391,39,11,11,11,11,1,0.05
N1C2W4_CL2_3_4_D,CL2_3_4,50,1,0,391,39,11,11,11,11,1,0.03
N1C2W4_CL2_3_4_E,CL2_3_4,50,1,0,341,34,11,11,11,11,1,0.03
N1C3W1_CL1_1_3_A,CL1_1_3,50,1,0,380,38,9,9,10,9,1,0.03
N1C3W1_CL1_1_3_B,CL1_1_3,50,1,0,389,39,9,9,9,9,1,0.03
N1C3W1_CL1_1_3_C,CL1_1_3,50,1,0,450,45,10,10,10,10,1,0.05
N1C3W1_CL1_1_3_D,CL1_1_3,50,1,0,391,39,11,11,11,11,1,0.03
N1C3W1_CL1_1_3_E,CL1_1_3,50,1,0,419,42,9,9,9,9,1,0.05
N1C3W1_CL1_1_5_A,CL1_1_5,50,1,0,467,47,6,6,7,6,1,0.06
N1C3W1_CL1_1_5_B,CL1_1_5,50,1,0,536,54,6,6,6,6,1,0.06
N1C3W1_CL1_1_5_C,CL1_1_5,50,1,0,647,65,7,7,7,7,1,0.11
N1C3W1_CL1_1_5_D,CL1_1_5,50,1,0,497,50,7,7,7,7,1,0.06
N1C3W1_CL1_1_5_E,CL1_1_5,50,1,0,496,50,6,6,6,6,1,0.06
N1C3W1_CL2_1_5_A,CL2_1_5,50,1,0,329,33,9,9,9,9,1,0.03
N1C3W1_CL2_1_5_B,CL2_1_5,50,1,0,469,47,9,9,9,9,1,0.05
N1C3W1_CL2_1_5_C,CL2_1_5,50,1,0,677,71,9,10,10,10,1,0.31
N1C3W1_CL2_1_5_D,CL2_1_5,50,1,0,360,36,10,10,10,10,1,0.03
N1C3W1_CL2_1_5_E,CL2_1_5,50,1,0,469,47,9,9,9,9,1,0.05
N1C3W1_CL2_3_3_A,CL2_3_3,50,1,0,399,40,9,9,9,9,1,0.05
N1C3W1_CL2_3_3_B,CL2_3_3,50,1,0,500,54,9,9,10,9,1,0.11
N1C3W1_CL2_3_3_C,CL2_3_3,50,1,0,635,65,10,10,10,10,1,0.31
N1C3W1_CL2_3_3_D,CL2_3_3,50,1,0,380,38,10,10,10,10,1,0.05
N1C3W1_CL2_3_3_E,CL2_3_3,50,1,0,409,41,9,9,9,9,1,0.05
N1C3W1_CL2_3_4_A,CL2_3_4,50,1,0,268,27,8,8,8,8,1,0.06
N1C3W1_CL2_3_4_B,CL2_3_4,50,1,0,388,39,8,8,8,8,1,0.05
N1C3W1_CL2_3_4_C,CL2_3_4,50,1,0,529,53,9,9,9,9,1,0.06
N1C3W1_CL2_3_4_D,CL2_3_4,50,1,0,389,39,9,9,9,9,1,0.05
N1C3W1_CL2_3_4_E,CL2_3_4,50,1,0,448,45,8,8,8,8,1,0.05
N1C3W2_CL1_1_3_A,CL1_1_3,50,1,0,381,38,11,11,11,11,1,0.05
N1C3W2_CL1_1_3_B,CL1_1_3,50,1,0,582,62,11,12,12,12,1,0.30
N1C3W2_CL1_1_3_C,CL1_1_3,50,1,0,303,30,12,12,13,12,1,0.03
N1C3W2_CL1_1_3_D,CL1_1_3,50,939,28,10043,3530,11,11,12,12,1,40.65
N1C3W2_CL1_1_3_E,CL1_1_3,50,1,0,342,34,12,12,12,12,1,0.03
N1C3W2_CL1_1_5_A,CL1_1_5,50,1,0,467,47,7,7,7,7,1,0.06
N1C3W2_CL1_1_5_B,CL1_1_5,50,1,0,598,60,8,8,8,8,1,0.08
N1C3W2_CL1_1_5_C,CL1_1_5,50,1,0,458,46,8,8,8,8,1,0.05
N1C3W2_CL1_1_5_D,CL1_1_5,50,1,0,578,58,8,8,8,8,1,0.06
N1C3W2_CL1_1_5_E,CL1_1_5,50,1,0,478,48,8,8,8,8,1,0.05
N1C3W2_CL2_1_5_A,CL2_1_5,50,1,0,380,38,10,10,10,10,1,0.03
N1C3W2_CL2_1_5_B,CL2_1_5,50,97,17,2207,484,10,10,11,11,1,6.34
